#List of standards with name(no spaces,  use _ instead or remove them,  whichever you prefer), Ra and Dec.
#Standard star,  RA,  DEC
G158-100,  8.4775,  -12.133028
Hiltner102,  17.27102375,  62.79173333
L870-2,  24.49725,  -4.995639
Feige_15,  27.28950792,  13.55326694
PG0205+134,  32.014625,  13.6071167
PG0216+032,  34.82917,  3.44833
Feige_24,  38.781640658,  3.732444264
Feige_25,  39.657431751,  5.469801156
HD_19445,  47.106623401,  26.330943253
PG0310+149,  48.405208,  15.106111
GD_50,  57.2091208,  -0.9755611
SA95-42,  58.4319875,  -0.0760722
HZ_4,  58.841625,  9.788333
LB_1240,  61.1421917,  25.1477111
LB_227,  62.3703792,  17.1318222
HZ_2,  63.1814625,  11.8635417
40_Eri_B,  63.840775,  -7.6581167
HZ_7,  68.437292,  12.711222
HZ_15,  70.163860458,  8.679260414
HZ_14,  70.25725,  10.994444
G191-B2B,  76.377553491,  52.831098788
G99-37,  87.831167,  -0.172583
Hiltner_600,  101.30571083,  2.13741583
He3,  101.908306858,  37.515853437
L745-46A,  115.0866417, -17.4136667
G193-74, 118.363583, 52.492083
BD+75_325, 122.706202021, 74.966089283
BD+08_2015, 123.9234333, 7.6183417
PG0823+546, 126.71, 54.46833
LDS_235B, 131.872667, -18.997167
PG0846+249, 132.2744792, 24.7522028
G47-18, 134.8115, 32.953361
PG0934+554, 144.584806606, 55.097244697
PG0939+262, 145.7109583, 26.0166056
SA_29-130, 146.6628167, 43.9145472
HD_84937, 147.233741689, 13.744256571
GD108, 150.1968917, -7.5586139
Feige_34, 159.903084955, 43.102570862
HD_93521, 162.097964041, 37.570303401
L_970-30, 166.9997833, -5.1571917
Ton_573, 167.499292, 26.31325
PG1121+145, 171.06625, 14.23028
Ross_627, 171.054625, 21.359889
EG81, 174.359875, 14.170611
GD140, 174.271267465, 29.799539817
Feige_56, 181.69680791, 11.670181331
HZ_21, 183.484375, 32.942056
HZ_29, 188.7275, 37.628917
Feige_66, 189.347987687, 25.066633504
Feige_67, 190.465794615, 17.522155354
G60-54, 195.03775, 3.478056
HZ_43, 199.091055371, 29.098716459
HZ_44, 200.89690875, 36.13319833
Wolf_485, 202.556834359, -8.574860071
Grw+70_5824, 204.710315392, 70.285461065
Feige_92, 212.882820822, 50.117815526
Feige_98, 219.56569417, 27.49249667
BD+26_2606, 222.259819561, 25.70254368
GD190, 236.0810667, 18.1120028
PG1545+035, 237.10125, 3.38167
BD+33_2642, 237.999524676, 32.94842402
G138-31, 246.972833, 9.204417
Ross_640, 247.104292, 36.770944
PG1708+602, 257.31625, 60.16972
Kopff_27, 265.9826667, 5.4133972
Grw+70_8247, 285.042708, 70.664222
BD+25_3941, 296.10889625, 26.22129333
BD+40_4032, 302.10057542, 41.25108556
HD192281, 303.138002168, 40.268179108
G24-9, 303.481958, 6.712417
Cyg_Ob2-9, 308.294736639, 41.252281642
Wolf_1346, 308.591179286, 25.063817378
Grw+73_8031, 321.7402458, 73.6457028
LDS_749B, 323.067667, 0.254
L1363-3, 325.670825, 20.9995111
L930-80, 326.9053833, -7.7367222
BD+28_4211, 327.795922587, 28.863987929
BD+25_4655, 329.924896155, 26.43261066
BD+17_4708, 332.880724028, 18.09282584
NGC_7293, 337.4105875, -20.8371222
HD217086, 344.196626263, 62.727124641
G157-34, 348.6049625, -6.5466222
LTT_9491, 349.897417, -17.09125
Feige_110, 349.993325566, -5.165600107
GD248, 351.527458, 16.005444
L1512-34, 355.961356024, 32.546292896
TPHE_A, 7.537499999999999, -46.52277777777779
TPHE_B, 7.5666666666666655, -46.46527777777778
TPHE_C, 7.570833333333334, -46.54277777777778
TPHE_D, 7.5749999999999975, -46.51972222222222
TPHE_E, 7.579166666666668, -46.410000000000004
TPHE_F, 7.70833333333333, -46.55916666666666
TPHE_G, 7.770833333333335, -46.378611111111105
PG0029+024, 7.958333333333328, 2.6405555555555558
PG0039+049, 10.520833333333334, 5.162222222222223
SA92_309, 13.308333333333334, 0.7683333333333344
SA92_235, 13.316666666666668, 0.6061111111111122
SA92_322, 13.445833333333336, 0.7947222222222232
SA92_245, 13.566666666666661, 0.6655555555555567
SA92_248, 13.629166666666666, 0.6722222222222234
SA92_249, 13.641666666666666, 0.6861111111111124
SA92_250, 13.654166666666661, 0.6502777777777791
SA92_330, 13.683333333333332, 0.7252777777777791
SA92_252, 13.699999999999996, 0.657777777777779
SA92_253, 13.716666666666667, 0.6733333333333347
SA92_335, 13.75, 0.7383333333333344
SA92_339, 13.762500000000001, 0.7377777777777789
SA92_342, 13.79166666666667, 0.7219444444444455
SA92_188, 13.79166666666667, 0.3880555555555569
SA92_409, 13.808333333333334, 0.9366666666666673
SA92_410, 13.812499999999996, 1.0316666666666678
SA92_412, 13.816666666666668, 1.0327777777777793
SA92_259, 13.841666666666667, 0.6761111111111123
SA92_345, 13.850000000000001, 0.8530555555555563
SA92_347, 13.858333333333329, 0.8480555555555568
SA92_260, 13.870833333333334, 0.6200000000000013
SA92_348, 13.875000000000004, 0.7441666666666679
SA92_417, 13.883333333333335, 0.886666666666668
SA92_263, 13.916666666666668, 0.6063888888888899
SA92_497, 13.974999999999996, 1.196111111111112
SA92_498, 13.987499999999999, 1.1788888888888893
SA92_500, 13.991666666666665, 1.1747222222222236
SA92_425, 13.99583333333333, 0.884166666666668
SA92_501, 14.000000000000005, 1.1825000000000012
SA92_426, 14.0, 0.882777777777779
SA92_355, 14.025000000000002, 0.8477777777777789
SA92_427, 14.029166666666667, 1.0063888888888897
SA92_502, 14.033333333333333, 1.0747222222222235
SA92_430, 14.066666666666665, 0.8891666666666677
